Prn:000000014a9c03d0,Prn:0000000100d94ac0,MobIO:0000000283793480,Epri:0000000101a89a00
Scn:00000002813fff00,MobIO:0000000283793480,Epri:0000000101a89a00
Prn:0000000135e84910,MobIO:00000002837c8140,Epri:0000000137176000
Dsp:00000002822f6b80,MobIO:00000002837c8140,Epri:0000000137176000
Prn:0000000135ec4440,MobIO:00000002837cb160,Epri:0000000137241800
Dsp:000000028228a1c0,MobIO:00000002837cb160,Epri:0000000137241800
Prn:0000000135ec4440,MobIO:00000002837cca00,Epri:00000001360aae00
Dsp:000000028228d0e0,MobIO:00000002837cca00,Epri:00000001360aae00
Prn:0000000136e50d80,MobIO:00000002837cc8c0,Epri:000000013728b000
Dsp:00000002822b19e0,MobIO:00000002837cc8c0,Epri:000000013728b000
Prn:0000000136dab280,MobIO:00000002837d4d20,Epri:00000001361cb800
Dsp:00000002822b7f60,MobIO:00000002837d4d20,Epri:00000001361cb800
Prn:0000000136dab280,MobIO:00000002837c6bc0,Epri:000000013729cc00
Dsp:00000002822427c0,MobIO:00000002837c6bc0,Epri:000000013729cc00
Prn:0000000136e7df10,Prn:0000000100b5a080,Prn:00000001053763c0,Prn:0000000101069d00,MobIO:00000002838c6260,Epri:0000000101985000
Dsp:0000000282df10e0,MobIO:00000002838c6260,Epri:0000000101985000
Prn:0000000101284ae0,MobIO:00000002838c1f40,Epri:0000000102287000
Dsp:0000000282d94b40,MobIO:00000002838c1f40,Epri:0000000102287000
Prn:00000001010adfb0,MobIO:0000000280ad0320,Prn:0000000101ec6e30,MobIO:0000000282ddbe80,Epri:00000001021a2000
Dsp:00000002838e9da0,MobIO:0000000282ddbe80,Epri:00000001021a2000
Prn:000000010287c1b0,MobIO:0000000282dd0320,Epri:0000000103142400
Dsp:00000002838e9980,MobIO:0000000282dd0320,Epri:0000000103142400
Prn:00000001028cdf90,MobIO:0000000280cc41e0,Epri:000000010380e000
Dsp:00000002819fb180,MobIO:0000000280cc41e0,Epri:000000010380e000
Prn:0000000102870240,MobIO:0000000280cc7480,Epri:0000000103994000
Dsp:0000000281981440,MobIO:0000000280cc7480,Epri:0000000103994000
Prn:00000001028bf550,MobIO:0000000280ccf200,Epri:0000000103012000
Dsp:0000000281981e60,MobIO:0000000280ccf200,Epri:0000000103012000
Prn:0000000112e36db0,MobIO:0000000280cc5680,Epri:0000000103994000
Dsp:0000000281998120,MobIO:0000000280cc5680,Epri:0000000103994000
Prn:0000000112e36db0,MobIO:0000000280cc0280,Epri:00000001031c5e00
Dsp:0000000281996400,MobIO:0000000280cc0280,Epri:00000001031c5e00
Prn:00000001029e2c70,MobIO:0000000280cc00a0,Epri:00000001031e4000
Dsp:0000000281990b40,MobIO:0000000280cc00a0,Epri:00000001031e4000
Prn:0000000102d10680,MobIO:00000002803db020,Epri:0000000103041000
Dsp:00000002816ff120,MobIO:00000002803db020,Epri:0000000103041000
Prn:000000010329e520,MobIO:0000000283ffc8c0,Epri:00000001038bd000
Dsp:0000000282ac8900,MobIO:0000000283ffc8c0,Epri:00000001038bd000
Prn:000000015ae6db70,MobIO:00000002809a5360,Epri:000000015a1a1200
Dsp:0000000281cfc7e0,MobIO:00000002809a5360,Epri:000000015a1a1200
Prn:000000015ae6db70,MobIO:00000002809b8140,Epri:000000015b84c200
Dsp:0000000281cc47e0,MobIO:00000002809b8140,Epri:000000015b84c200
Prn:000000015ad447d0,MobIO:00000002809b8280,Epri:000000015b9d5600
Dsp:0000000281cd0cc0,MobIO:00000002809b8280,Epri:000000015b9d5600
Prn:000000015ae9f100,MobIO:00000002809a6800,Epri:000000015a214200
Dsp:0000000281cd50e0,MobIO:00000002809a6800,Epri:000000015a214200
Prn:0000000141e7d350,MobIO:0000000283728960,Epri:0000000142155e00
Dsp:000000028221d620,MobIO:0000000283728960,Epri:0000000142155e00
Prn:00000001012a5b40,Prn:0000000114415260,MobIO:0000000280c7e8a0,Epri:000000010610bc00
Dsp:000000028194ba80,MobIO:0000000280c7e8a0,Epri:000000010610bc00
Prn:0000000100aa9850,MobIO:00000002805cec60,Epri:0000000101967200
Dsp:0000000281094ea0,MobIO:00000002805cec60,Epri:0000000101967200
Prn:0000000100b8ba60,MobIO:00000002805c7200,Epri:000000010112a000
Dsp:00000002810a9680,MobIO:00000002805c7200,Epri:000000010112a000
Prn:0000000100b8ba60,MobIO:00000002805ca580,Epri:0000000101987a00
Dsp:00000002810b00c0,MobIO:00000002805ca580,Epri:0000000101987a00
Prn:0000000110393d30,MobIO:0000000282f41900,Epri:00000001021a5a00
Dsp:0000000283a3ab80,MobIO:0000000282f41900,Epri:00000001021a5a00
Prn:00000001013f6a00,MobIO:0000000282f44fa0,Epri:0000000101a3f400
Dsp:0000000283a34540,MobIO:0000000282f44fa0,Epri:0000000101a3f400
Prn:00000001103ca690,MobIO:0000000282f59a40,Epri:000000010228f000
Dsp:0000000283adcea0,MobIO:0000000282f59a40,Epri:000000010228f000
Prn:000000011261cf20,MobIO:0000000282618280,Epri:0000000103917000
Dsp:0000000283322dc0,MobIO:0000000282618280,Epri:0000000103917000
Prn:0000000100c0abb0,MobIO:0000000281cab7a0,Epri:000000010111e000
Dsp:0000000280990960,MobIO:0000000281cab7a0,Epri:000000010111e000
Prn:0000000125e8a3b0,MobIO:0000000280b741e0,Epri:000000012681e000
Dsp:0000000281e4e8e0,MobIO:0000000280b741e0,Epri:000000012681e000
Prn:00000001270c8870,MobIO:0000000280b7f3e0,Epri:000000012607a000
Dsp:0000000281e391a0,MobIO:0000000280b7f3e0,Epri:000000012607a000
